iter	RMSE
0	41.04023248
1	40.45025642
2	39.9933074
3	39.59183929
4	39.18634688
5	38.8184155
6	38.47031454
7	38.1419812
8	37.87476255
9	37.64029102
10	37.40838992
11	37.21793547
12	37.04336788
13	36.84070967
14	36.6714145
15	36.51267202
16	36.38180247
17	36.2198725
18	36.08285831
19	35.9741515
20	35.87252758
21	35.77391126
22	35.68705968
23	35.56013751
24	35.46725538
25	35.37595682
26	35.27909343
27	35.20569847
28	35.08495731
29	35.03479978
30	34.95483432
31	34.90992552
32	34.86238989
33	34.77054597
34	34.73261536
35	34.68911528
36	34.63016548
37	34.5883035
38	34.53555867
39	34.49284371
40	34.43640229
41	34.40747666
42	34.33889232
43	34.28346542
44	34.25237724
45	34.23053305
46	34.18196015
47	34.14994423
48	34.10727445
49	34.07684811
50	34.03511853
51	34.00792179
52	33.95652906
53	33.92947114
54	33.89715752
55	33.88020925
56	33.84388169
57	33.80313865
58	33.77873778
59	33.75572414
60	33.7470967
61	33.73363069
62	33.6765387
63	33.64330387
64	33.61316369
65	33.59211941
66	33.5662661
67	33.54855285
68	33.52444636
69	33.51386671
70	33.50383586
71	33.49351281
72	33.46853279
73	33.45863326
74	33.44979631
75	33.41299319
76	33.40321265
77	33.38503401
78	33.36065578
79	33.34129768
80	33.30701111
81	33.28964473
82	33.28009199
83	33.26630766
84	33.25133301
85	33.22432174
86	33.20562782
87	33.18966097
88	33.17378753
89	33.15365093
90	33.14234912
91	33.11157293
92	33.10457071
93	33.09427593
94	33.07304657
95	33.06396744
96	33.05320629
97	33.04014183
98	33.02354481
99	33.00774789
100	32.99495817
101	32.9853698
102	32.97851966
103	32.95636031
104	32.94633466
105	32.91309942
106	32.89772992
107	32.88832848
108	32.88410105
109	32.87295535
110	32.86251518
111	32.84881626
112	32.82518714
113	32.81288113
114	32.8033912
115	32.79423293
116	32.78303722
117	32.76599488
118	32.75807378
119	32.74138944
120	32.72667688
121	32.71481453
122	32.69747368
123	32.68944603
124	32.67297812
125	32.66204447
126	32.65527142
127	32.64655189
128	32.63797359
129	32.62599888
130	32.61991453
131	32.60952619
132	32.59813085
133	32.58255977
134	32.57329537
135	32.56866104
136	32.55930069
137	32.54907303
138	32.54146092
139	32.53210561
140	32.52287748
141	32.514014
142	32.50993267
143	32.49942728
144	32.47679545
145	32.46660311
146	32.45888979
147	32.44969389
148	32.44274764
149	32.42480003
150	32.41348389
151	32.40484029
152	32.38877634
153	32.38184785
154	32.36901545
155	32.35156901
156	32.34238441
157	32.32356593
158	32.31369246
159	32.30172555
160	32.29113777
161	32.28243268
162	32.27398017
163	32.26759115
164	32.25996152
165	32.24797536
166	32.2434343
167	32.23625795
168	32.22283055
169	32.21204185
170	32.20496043
171	32.19650099
172	32.18537483
173	32.17626095
174	32.16193662
175	32.14389799
176	32.13761693
177	32.12563471
178	32.11575119
179	32.09304267
180	32.08376749
181	32.07073095
182	32.06213562
183	32.04634856
184	32.03860479
185	32.02049523
186	32.01319765
187	32.00355204
188	31.99782708
189	31.98947294
190	31.98095887
191	31.97286499
192	31.96597907
193	31.9593922
194	31.94886123
195	31.93822248
196	31.9279228
197	31.92027562
198	31.91283843
199	31.90730677
200	31.9000216
201	31.89212588
202	31.88543845
203	31.87770936
204	31.8725383
205	31.86854731
206	31.86040915
207	31.85432451
208	31.85071083
209	31.8397823
210	31.83545218
211	31.8267414
212	31.81936269
213	31.80530306
214	31.79973782
215	31.78896757
216	31.78290687
217	31.7776097
218	31.76602107
219	31.757474
220	31.75169831
221	31.74593829
222	31.7368896
223	31.73191349
224	31.72626142
225	31.72107167
226	31.71391216
227	31.70413168
228	31.69873978
229	31.69344327
230	31.68527694
231	31.68061301
232	31.67487728
233	31.66852939
234	31.66166187
235	31.65515248
236	31.64734827
237	31.64159529
238	31.63618639
239	31.63001917
240	31.61692088
241	31.61129292
242	31.60608464
243	31.59655681
244	31.58931423
245	31.58302068
246	31.57127818
247	31.56634699
248	31.55866454
249	31.54965015
250	31.54111812
251	31.53229187
252	31.52689651
253	31.52125313
254	31.51509102
255	31.50692294
256	31.50209373
257	31.49549749
258	31.49079344
259	31.48554018
260	31.4818611
261	31.47435045
262	31.46978399
263	31.46543806
264	31.45476861
265	31.44936784
266	31.44397267
267	31.43878265
268	31.43359915
269	31.42871727
270	31.42428252
271	31.41961068
272	31.40714442
273	31.40212186
274	31.39353646
275	31.38039364
276	31.3728401
277	31.36603972
278	31.35788303
279	31.35299834
280	31.34785336
281	31.34274942
282	31.33257207
283	31.32316932
