date,hour,demand
2021-03-01,0,58.13976296115261
2021-03-01,1,54.85643211894488
2021-03-01,2,56.55417373779785
2021-03-01,3,55.26595815870046
2021-03-01,5,48.55701161554863
2021-03-01,6,50.09917943526837
2021-03-01,7,60.964330697168364
2021-03-01,8,66.09008875525059
2021-03-01,9,71.29137295205199
2021-03-01,10,75.96584303368779
2021-03-01,11,84.72755933802632
2021-03-01,12,94.07296396646943
2021-03-01,13,95.62142587539203
2021-03-01,14,95.37791194375605
2021-03-01,15,97.68991471271342
2021-03-01,16,96.92066192684915
2021-03-01,17,97.22186407670553
2021-03-01,18,90.77275367273565
2021-03-01,19,82.81489245986494
2021-03-01,20,73.17794220668215
2021-03-01,21,69.96154314188227
2021-03-01,22,65.89229429833223
2021-03-01,23,61.68344974714678
2021-03-02,0,56.3141940323993
2021-03-02,1,53.03086319019154
2021-03-02,2,54.72860480904451
2021-03-02,4,48.64028533302819
2021-03-02,6,48.27361050651503
2021-03-02,7,59.13876176841502
2021-03-02,8,64.26451982649725
2021-03-02,9,69.46580402329865
2021-03-02,10,74.14027410493445
2021-03-02,11,82.90199040927298
2021-03-02,12,92.24739503771609
2021-03-02,13,93.7958569466387
2021-03-02,14,93.5523430150027
2021-03-02,15,95.86434578396008
2021-03-02,16,95.09509299809581
2021-03-02,17,95.39629514795222
2021-03-02,18,88.94718474398233
2021-03-02,19,80.9893235311116
2021-03-02,20,71.3523732779288
2021-03-02,21,68.13597421312896
2021-03-02,22,64.06672536957889
2021-03-02,23,59.85788081839344
2021-03-03,0,62.74311680078749
2021-03-03,2,61.15752757743273
2021-03-03,3,59.869311998335334
2021-03-03,4,55.06920810141641
2021-03-03,5,53.16036545518351
2021-03-03,6,54.702533274903246
2021-03-03,7,65.56768453680327
2021-03-03,8,70.69344259488547
2021-03-03,9,75.89472679168686
2021-03-03,10,80.56919687332264
2021-03-03,11,89.33091317766123
2021-03-03,12,98.67631780610428
2021-03-03,13,100.22477971502694
2021-03-03,14,99.98126578339092
2021-03-03,15,102.29326855234827
2021-03-03,16,101.52401576648406
2021-03-03,17,101.82521791634043
2021-03-03,18,95.37610751237052
2021-03-03,19,87.41824629949984
2021-03-03,20,77.78129604631702
2021-03-03,21,74.56489698151718
2021-03-03,22,70.49564813796708
2021-03-03,23,66.28680358678166
2021-03-04,0,60.91754787203415
2021-03-04,1,57.63421702982639
2021-03-04,2,59.33195864867939
2021-03-04,4,53.243639172663066
2021-03-04,6,52.876964346149904
2021-03-04,7,63.74211560804993
2021-03-04,8,68.86787366613213
2021-03-04,9,74.06915786293352
2021-03-04,10,78.7436279445693
2021-03-04,11,87.50534424890789
2021-03-04,12,96.85074887735094
2021-03-04,13,98.3992107862736
2021-03-04,14,98.15569685463758
2021-03-04,15,100.46769962359492
2021-03-04,16,99.69844683773071
2021-03-04,17,99.9996489875871
2021-03-04,18,93.55053858361718
2021-03-04,19,85.5926773707465
2021-03-04,20,75.95572711756368
2021-03-04,21,72.73932805276384
2021-03-04,22,68.67007920921374
2021-03-04,23,64.46123465802832
2021-03-05,0,71.47371648899313
2021-03-05,1,68.19038564678537
2021-03-05,2,69.88812726563835
2021-03-05,3,68.59991168654095
2021-03-05,4,63.79980778962202
2021-03-05,5,61.890965143389124
2021-03-05,6,63.43313296310886
2021-03-05,7,74.29828422500889
2021-03-05,8,79.42404228309111
2021-03-05,9,84.62532647989248
2021-03-05,10,89.29979656152828
2021-03-05,11,98.06151286586685
2021-03-05,12,107.40691749430992
2021-03-05,13,108.95537940323253
2021-03-05,14,108.71186547159657
2021-03-05,15,111.02386824055391
2021-03-05,16,110.25461545468964
2021-03-05,17,110.55581760454605
2021-03-05,18,104.10670720057617
2021-03-05,19,96.14884598770546
2021-03-05,20,86.51189573452264
2021-03-05,21,83.2954966697228
2021-03-05,22,79.22624782617272
2021-03-05,23,75.01740327498727
2021-03-06,0,61.39365586309826
2021-03-06,1,58.1103250208905
2021-03-06,2,59.80806663974347
2021-03-06,4,53.71974716372718
2021-03-06,7,64.21822359911401
2021-03-06,8,69.34398165719624
2021-03-06,9,74.5452658539976
2021-03-06,10,79.21973593563341
2021-03-06,11,87.98145223997197
2021-03-06,12,97.32685686841505
2021-03-06,13,98.87531877733765
2021-03-06,14,98.6318048457017
2021-03-06,15,100.94380761465904
2021-03-06,16,100.17455482879477
2021-03-06,17,100.47575697865118
2021-03-06,18,94.0266465746813
2021-03-06,19,86.06878536181058
2021-03-06,20,76.43183510862777
2021-03-06,21,73.21543604382792
2021-03-06,22,69.14618720027785
2021-03-06,23,64.9373426490924
2021-03-07,0,71.94982448005722
2021-03-07,1,68.66649363784948
2021-03-07,2,70.36423525670246
2021-03-07,3,69.07601967760503
2021-03-07,4,64.27591578068613
2021-03-07,5,62.367073134453236
2021-03-07,7,74.77439221607297
2021-03-07,8,79.9001502741552
2021-03-07,9,85.10143447095659
2021-03-07,10,89.7759045525924
2021-03-07,11,98.53762085693093
2021-03-07,12,107.88302548537403
2021-03-07,13,109.43148739429664
2021-03-07,14,109.18797346266068
2021-03-07,15,111.49997623161802
2021-03-07,16,110.73072344575375
2021-03-07,17,111.03192559561013
2021-03-07,18,104.58281519164025
2021-03-07,19,96.62495397876954
2021-03-07,20,86.98800372558675
2021-03-07,21,83.77160466078688
2021-03-07,22,79.70235581723684
2021-03-07,23,75.49351126605139
2021-03-08,0,57.27664958342585
2021-03-08,1,53.99331874121812
2021-03-08,2,55.69106036007109
2021-03-08,3,54.402844780973695
2021-03-08,4,49.602740884054796
2021-03-08,6,49.236066057541606
2021-03-08,7,60.10121731944163
2021-03-08,8,65.22697537752383
2021-03-08,9,70.42825957432522
2021-03-08,10,75.102729655961
2021-03-08,11,83.86444596029959
2021-03-08,12,93.20985058874264
2021-03-08,13,94.7583124976653
2021-03-08,14,94.51479856602928
2021-03-08,15,96.82680133498663
2021-03-08,16,96.05754854912242
2021-03-08,17,96.3587506989788
2021-03-08,18,89.90964029500888
2021-03-08,19,81.9517790821382
2021-03-08,20,72.31482882895538
2021-03-08,21,69.09842976415554
2021-03-08,22,65.02918092060544
2021-03-08,23,60.82033636942002
2021-03-09,0,63.70557235181404
2021-03-09,1,60.42224150960631
2021-03-09,2,62.11998312845931
2021-03-09,3,60.831767549361885
2021-03-09,4,56.03166365244299
2021-03-09,5,54.12282100621006
2021-03-09,6,55.6649888259298
2021-03-09,7,66.53014008782982
2021-03-09,8,71.65589814591202
2021-03-09,9,76.85718234271344
2021-03-09,10,81.53165242434922
2021-03-09,11,90.29336872868778
2021-03-09,12,99.63877335713086
2021-03-09,13,101.18723526605349
2021-03-09,14,100.94372133441748
2021-03-09,15,103.25572410337485
2021-03-09,16,102.4864713175106
2021-03-09,17,102.78767346736699
2021-03-09,18,96.33856306339707
2021-03-09,19,88.38070185052639
2021-03-09,20,78.7437515973436
2021-03-09,21,75.52735253254373
2021-03-09,22,71.45810368899366
2021-03-09,23,67.24925913780824
2021-03-10,0,57.75275757448996
2021-03-10,1,54.4694267322822
2021-03-10,2,56.1671683511352
2021-03-10,4,50.07884887511888
2021-03-10,6,49.71217404860572
2021-03-10,7,60.57732531050574
2021-03-10,8,65.70308336858794
2021-03-10,9,70.90436756538934
2021-03-10,10,75.57883764702511
2021-03-10,11,84.3405539513637
2021-03-10,12,93.68595857980675
2021-03-10,13,95.23442048872941
2021-03-10,14,94.9909065570934
2021-03-10,15,97.30290932605074
2021-03-10,16,96.53365654018653
2021-03-10,17,96.8348586900429
2021-03-10,18,90.385748286073
2021-03-10,19,82.42788707320231
2021-03-10,20,72.7909368200195
2021-03-10,21,69.57453775521965
2021-03-10,22,65.50528891166955
2021-03-10,23,61.29644436048413
2021-03-11,0,64.18168034287815
2021-03-11,2,62.59609111952342
2021-03-11,3,61.307875540426
2021-03-11,4,56.5077716435071
2021-03-11,5,54.59892899727417
2021-03-11,6,56.14109681699391
2021-03-11,7,67.00624807889393
2021-03-11,8,72.13200613697613
2021-03-11,9,77.33329033377755
2021-03-11,10,82.00776041541333
2021-03-11,11,90.76947671975189
2021-03-11,12,100.11488134819497
2021-03-11,13,101.6633432571176
2021-03-11,14,101.41982932548162
2021-03-11,15,103.73183209443896
2021-03-11,16,102.96257930857472
2021-03-11,17,103.2637814584311
2021-03-11,18,96.81467105446119
2021-03-11,19,88.8568098415905
2021-03-11,20,79.21985958840772
2021-03-11,21,76.00346052360784
2021-03-11,22,71.93421168005777
2021-03-11,23,67.72536712887235
2021-03-12,0,66.4833572626956
2021-03-12,1,63.200026420487845
2021-03-12,2,64.89776803934082
2021-03-12,4,58.809448563324494
2021-03-12,5,56.900605917091596
2021-03-12,6,58.44277373681133
2021-03-12,7,69.30792499871136
2021-03-12,8,74.43368305679358
2021-03-12,9,79.63496725359495
2021-03-12,10,84.30943733523075
2021-03-12,11,93.07115363956932
2021-03-12,12,102.4165582680124
2021-03-12,13,103.965020176935
2021-03-12,14,103.72150624529904
2021-03-12,15,106.03350901425638
2021-03-12,16,105.26425622839211
2021-03-12,17,105.56545837824852
2021-03-12,18,99.11634797427864
2021-03-12,19,91.15848676140793
2021-03-12,20,81.52153650822511
2021-03-12,21,78.30513744342527
2021-03-12,22,74.2358885998752
2021-03-12,23,70.02704404868975
2021-03-13,0,64.65778833394226
2021-03-13,1,61.3744574917345
2021-03-13,2,63.072199110587505
2021-03-13,5,55.07503698833828
2021-03-13,6,56.61720480805802
2021-03-13,7,67.48235606995804
2021-03-13,8,72.60811412804024
2021-03-13,9,77.80939832484164
2021-03-13,10,82.48386840647741
2021-03-13,11,91.245584710816
2021-03-13,12,100.59098933925905
2021-03-13,13,102.13945124818171
2021-03-13,14,101.8959373165457
2021-03-13,15,104.20794008550304
2021-03-13,16,103.43868729963883
2021-03-13,17,103.73988944949521
2021-03-13,18,97.2907790455253
2021-03-13,19,89.33291783265462
2021-03-13,20,79.6959675794718
2021-03-13,21,76.47956851467195
2021-03-13,22,72.41031967112185
2021-03-13,23,68.20147511993643
2021-03-14,0,71.08671110233045
2021-03-14,1,67.8033802601227
2021-03-14,2,69.5011218789757
2021-03-14,3,68.2129062998783
2021-03-14,5,61.50395975672647
2021-03-14,6,63.04612757644621
2021-03-14,7,73.91127883834623
2021-03-14,8,79.03703689642843
2021-03-14,9,84.23832109322983
2021-03-14,10,88.9127911748656
2021-03-14,11,97.6745074792042
2021-03-14,12,107.01991210764724
2021-03-14,13,108.5683740165699
2021-03-14,14,108.32486008493389
2021-03-14,15,110.63686285389123
2021-03-14,16,109.86761006802702
2021-03-14,17,110.1688122178834
2021-03-14,18,103.71970181391349
2021-03-14,19,95.7618406010428
2021-03-14,20,86.12489034785999
2021-03-14,21,82.90849128306014
2021-03-14,22,78.83924243951004
2021-03-14,23,74.63039788832462
2021-03-15,0,56.41353620569912
2021-03-15,1,53.130205363491356
2021-03-15,2,54.82794698234433
2021-03-15,4,48.739627506328034
2021-03-15,5,46.830784860095136
2021-03-15,6,48.37295267981487
2021-03-15,7,59.23810394171487
2021-03-15,8,64.3638619997971
2021-03-15,9,69.56514619659846
2021-03-15,10,74.23961627823427
